AREA_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_STATUS_LABEL
Colombia,Total,15 years old and over,Total,Total,Total,2017,7.984266327,A,Normal value
"Congo, Dem. Rep.",Total,15 years old and over,Total,Total,Total,2017,1.928128757,A,Normal value
"Congo, Rep.",Total,15 years old and over,Total,Total,Total,2017,2.724314284,A,Normal value
Costa Rica,Total,15 years old and over,Total,Total,Total,2017,20.64957786,A,Normal value
Cote d'Ivoire,Total,15 years old and over,Total,Total,Total,2017,5.543011617,A,Normal value
Croatia,Total,15 years old and over,Total,Total,Total,2017,45.26769487,A,Normal value
Cyprus,Total,15 years old and over,Total,Total,Total,2017,29.04698822,A,Normal value
Czechia,Total,15 years old and over,Total,Total,Total,2017,56.61620129,A,Normal value
Denmark,Total,15 years old and over,Total,Total,Total,2017,81.55122015,A,Normal value
Dominican Republic,Total,15 years old and over,Total,Total,Total,2017,9.331860391,A,Normal value
Ecuador,Total,15 years old and over,Total,Total,Total,2017,5.924872489,A,Normal value
"Egypt, Arab Rep.",Total,15 years old and over,Total,Total,Total,2017,1.976263671,A,Normal value
El Salvador,Total,15 years old and over,Total,Total,Total,2017,3.807453993,A,Normal value
Estonia,Total,15 years old and over,Total,Total,Total,2017,71.76815182,A,Normal value
Ethiopia,Total,15 years old and over,Total,Total,Total,2017,0.577543452,A,Normal value
Finland,Total,15 years old and over,Total,Total,Total,2017,85.8808847,A,Normal value
France,Total,15 years old and over,Total,Total,Total,2017,42.66127946,A,Normal value
Gabon,Total,15 years old and over,Total,Total,Total,2017,14.18923296,A,Normal value
"Gambia, The",Total,15 years old and over,Total,Total,Total,2017,1.724514712,A,Normal value
Georgia,Total,15 years old and over,Total,Total,Total,2017,11.67135978,A,Normal value
Germany,Total,15 years old and over,Total,Total,Total,2017,57.93063595,A,Normal value
Ghana,Total,15 years old and over,Total,Total,Total,2017,5.358514561,A,Normal value
Greece,Total,15 years old and over,Total,Total,Total,2017,16.52504147,A,Normal value
Guatemala,Total,15 years old and over,Total,Total,Total,2017,3.989021905,A,Normal value
Guinea,Total,15 years old and over,Total,Total,Total,2017,2.95640675,A,Normal value
Haiti,Total,15 years old and over,Total,Total,Total,2017,6.847454442,A,Normal value
Honduras,Total,15 years old and over,Total,Total,Total,2017,3.691584795,A,Normal value
"Hong Kong SAR, China",Total,15 years old and over,Total,Total,Total,2017,45.17020178,A,Normal value
Hungary,Total,15 years old and over,Total,Total,Total,2017,29.62593823,A,Normal value
India,Total,15 years old and over,Total,Total,Total,2017,2.700830396,A,Normal value
Indonesia,Total,15 years old and over,Total,Total,Total,2017,4.240416281,A,Normal value
"Iran, Islamic Rep.",Total,15 years old and over,Total,Total,Total,2017,39.88830517,A,Normal value
Iraq,Total,15 years old and over,Total,Total,Total,2017,8.196168669,A,Normal value
Ireland,Total,15 years old and over,Total,Total,Total,2017,52.43695136,A,Normal value
Israel,Total,15 years old and over,Total,Total,Total,2017,37.623748,A,Normal value
Italy,Total,15 years old and over,Total,Total,Total,2017,39.51567182,A,Normal value
Japan,Total,15 years old and over,Total,Total,Total,2017,23.70519737,A,Normal value
Jordan,Total,15 years old and over,Total,Total,Total,2017,2.121385446,A,Normal value
Kazakhstan,Total,15 years old and over,Total,Total,Total,2017,21.38469398,A,Normal value
Kenya,Total,15 years old and over,Total,Total,Total,2017,23.51095108,A,Normal value
"Korea, Rep.",Total,15 years old and over,Total,Total,Total,2017,64.21131137,A,Normal value
Kosovo,Total,15 years old and over,Total,Total,Total,2017,7.230110544,A,Normal value
Kuwait,Total,15 years old and over,Total,Total,Total,2017,32.61421338,A,Normal value
Kyrgyz Republic,Total,15 years old and over,Total,Total,Total,2017,3.153506463,A,Normal value
Lao PDR,Total,15 years old and over,Total,Total,Total,2017,3.023987019,A,Normal value
Latvia,Total,15 years old and over,Total,Total,Total,2017,58.19678856,A,Normal value
Lebanon,Total,15 years old and over,Total,Total,Total,2017,6.205001916,A,Normal value
Lesotho,Total,15 years old and over,Total,Total,Total,2017,8.487253621,A,Normal value
Liberia,Total,15 years old and over,Total,Total,Total,2017,1.611130525,A,Normal value
Libya,Total,15 years old and over,Total,Total,Total,2017,10.32640417,A,Normal value
Lithuania,Total,15 years old and over,Total,Total,Total,2017,49.53524331,A,Normal value
Luxembourg,Total,15 years old and over,Total,Total,Total,2017,64.61091036,A,Normal value
Madagascar,Total,15 years old and over,Total,Total,Total,2017,1.052426548,A,Normal value
Malawi,Total,15 years old and over,Total,Total,Total,2017,6.835080321,A,Normal value
Malaysia,Total,15 years old and over,Total,Total,Total,2017,24.89603224,A,Normal value
Maldives,Total,15 years old and over,Total,Total,Total,2017,26.60626168,A,Normal value
Mali,Total,15 years old and over,Total,Total,Total,2017,4.286592395,A,Normal value
Malta,Total,15 years old and over,Total,Total,Total,2017,41.42809287,A,Normal value
Mauritania,Total,15 years old and over,Total,Total,Total,2017,2.746470067,A,Normal value
Mauritius,Total,15 years old and over,Total,Total,Total,2017,6.872898897,A,Normal value
Mexico,Total,15 years old and over,Total,Total,Total,2017,8.933033899,A,Normal value
Moldova,Total,15 years old and over,Total,Total,Total,2017,30.7899605,A,Normal value
Mongolia,Total,15 years old and over,Total,Total,Total,2017,13.97556403,A,Normal value
Montenegro,Total,15 years old and over,Total,Total,Total,2017,7.308502237,A,Normal value
Mozambique,Total,15 years old and over,Total,Total,Total,2017,7.626927427,A,Normal value
Myanmar,Total,15 years old and over,Total,Total,Total,2017,1.108829111,A,Normal value
Namibia,Total,15 years old and over,Total,Total,Total,2017,11.69173443,A,Normal value
Nepal,Total,15 years old and over,Total,Total,Total,2017,1.126828551,A,Normal value
Netherlands,Total,15 years old and over,Total,Total,Total,2017,81.41915882,A,Normal value
New Zealand,Total,15 years old and over,Total,Total,Total,2017,73.65539394,A,Normal value
Nicaragua,Total,15 years old and over,Total,Total,Total,2017,5.191470166,A,Normal value
Niger,Total,15 years old and over,Total,Total,Total,2017,3.104519974,A,Normal value
Nigeria,Total,15 years old and over,Total,Total,Total,2017,4.015293816,A,Normal value
North Macedonia,Total,15 years old and over,Total,Total,Total,2017,9.965984913,A,Normal value
Norway,Total,15 years old and over,Total,Total,Total,2017,87.92416173,A,Normal value
Pakistan,Total,15 years old and over,Total,Total,Total,2017,7.305831433,A,Normal value
Panama,Total,15 years old and over,Total,Total,Total,2017,6.268262529,A,Normal value
Paraguay,Total,15 years old and over,Total,Total,Total,2017,4.385250392,A,Normal value
Peru,Total,15 years old and over,Total,Total,Total,2017,4.471963991,A,Normal value
Philippines,Total,15 years old and over,Total,Total,Total,2017,3.33717319,A,Normal value
Poland,Total,15 years old and over,Total,Total,Total,2017,51.14869819,A,Normal value
Portugal,Total,15 years old and over,Total,Total,Total,2017,30.18730269,A,Normal value
Romania,Total,15 years old and over,Total,Total,Total,2017,11.95640503,A,Normal value
Russian Federation,Total,15 years old and over,Total,Total,Total,2017,34.62065307,A,Normal value
Rwanda,Total,15 years old and over,Total,Total,Total,2017,4.144194883,A,Normal value
Saudi Arabia,Total,15 years old and over,Total,Total,Total,2017,30.56378012,A,Normal value
Senegal,Total,15 years old and over,Total,Total,Total,2017,9.008132484,A,Normal value
Serbia,Total,15 years old and over,Total,Total,Total,2017,12.2794552,A,Normal value
Sierra Leone,Total,15 years old and over,Total,Total,Total,2017,3.307770467,A,Normal value
Singapore,Total,15 years old and over,Total,Total,Total,2017,49.6842578,A,Normal value
Slovak Republic,Total,15 years old and over,Total,Total,Total,2017,52.55613805,A,Normal value
Slovenia,Total,15 years old and over,Total,Total,Total,2017,44.83652322,A,Normal value
South Africa,Total,15 years old and over,Total,Total,Total,2017,10.12489591,A,Normal value
South Sudan,Total,15 years old and over,Total,Total,Total,2017,2.699834722,A,Normal value
Spain,Total,15 years old and over,Total,Total,Total,2017,48.00759484,A,Normal value
Sri Lanka,Total,15 years old and over,Total,Total,Total,2017,4.745638321,A,Normal value
Sweden,Total,15 years old and over,Total,Total,Total,2017,79.77607762,A,Normal value
Switzerland,Total,15 years old and over,Total,Total,Total,2017,48.35135346,A,Normal value
"Taiwan, China",Total,15 years old and over,Total,Total,Total,2017,23.5855981,A,Normal value
Tajikistan,Total,15 years old and over,Total,Total,Total,2017,8.391944547,A,Normal value
Tanzania,Total,15 years old and over,Total,Total,Total,2017,8.11659101,A,Normal value
Thailand,Total,15 years old and over,Total,Total,Total,2017,10.05422371,A,Normal value
Togo,Total,15 years old and over,Total,Total,Total,2017,5.996263867,A,Normal value
Trinidad and Tobago,Total,15 years old and over,Total,Total,Total,2017,10.60666132,A,Normal value
Tunisia,Total,15 years old and over,Total,Total,Total,2017,3.429100204,A,Normal value
Turkiye,Total,15 years old and over,Total,Total,Total,2017,32.56920923,A,Normal value
Turkmenistan,Total,15 years old and over,Total,Total,Total,2017,0,A,Normal value
Uganda,Total,15 years old and over,Total,Total,Total,2017,7.558704421,A,Normal value
Ukraine,Total,15 years old and over,Total,Total,Total,2017,22.87490391,A,Normal value
United Arab Emirates,Total,15 years old and over,Total,Total,Total,2017,44.60055309,A,Normal value
United Kingdom,Total,15 years old and over,Total,Total,Total,2017,61.70135608,A,Normal value
United States,Total,15 years old and over,Total,Total,Total,2017,64.30782843,A,Normal value
Uruguay,Total,15 years old and over,Total,Total,Total,2017,18.04740195,A,Normal value
Uzbekistan,Total,15 years old and over,Total,Total,Total,2017,6.389186775,A,Normal value
"Venezuela, RB",Total,15 years old and over,Total,Total,Total,2017,27.58632517,A,Normal value
Viet Nam,Total,15 years old and over,Total,Total,Total,2017,6.532080721,A,Normal value
West Bank and Gaza,Total,15 years old and over,Total,Total,Total,2017,3.756718967,A,Normal value
Zambia,Total,15 years old and over,Total,Total,Total,2017,9.285374555,A,Normal value
Zimbabwe,Total,15 years old and over,Total,Total,Total,2017,7.445566197,A,Normal value
Afghanistan,Total,15 years old and over,Total,Total,Total,2021,0.06912244,A,Normal value
Albania,Total,15 years old and over,Total,Total,Total,2021,4.867532818,A,Normal value
Algeria,Total,15 years old and over,Total,Total,Total,2021,3.56960756,A,Normal value
Argentina,Total,15 years old and over,Total,Total,Total,2021,32.35188696,A,Normal value
Armenia,Total,15 years old and over,Total,Total,Total,2021,19.82586049,A,Normal value
Australia,Total,15 years old and over,Total,Total,Total,2021,77.14080362,A,Normal value
Austria,Total,15 years old and over,Total,Total,Total,2021,61.56774263,A,Normal value
Azerbaijan,Total,15 years old and over,Total,Total,Total,2022,15.93020483,A,Normal value
Bangladesh,Total,15 years old and over,Total,Total,Total,2021,10.52326771,A,Normal value
Belgium,Total,15 years old and over,Total,Total,Total,2021,78.2039716,A,Normal value
Benin,Total,15 years old and over,Total,Total,Total,2021,7.174508815,A,Normal value
Bolivia,Total,15 years old and over,Total,Total,Total,2021,13.92321874,A,Normal value
Bosnia and Herzegovina,Total,15 years old and over,Total,Total,Total,2021,13.35190256,A,Normal value
Botswana,Total,15 years old and over,Total,Total,Total,2022,20.27533524,A,Normal value
Brazil,Total,15 years old and over,Total,Total,Total,2021,42.63326578,A,Normal value
Bulgaria,Total,15 years old and over,Total,Total,Total,2021,31.4611039,A,Normal value
Burkina Faso,Total,15 years old and over,Total,Total,Total,2021,9.827215602,A,Normal value
Cambodia,Total,15 years old and over,Total,Total,Total,2021,2.469867471,A,Normal value
Cameroon,Total,15 years old and over,Total,Total,Total,2021,11.58588283,A,Normal value
Canada,Total,15 years old and over,Total,Total,Total,2021,75.49195839,A,Normal value
Chad,Total,15 years old and over,Total,Total,Total,2022,4.547543225,A,Normal value
Chile,Total,15 years old and over,Total,Total,Total,2021,51.54869578,A,Normal value
China,Total,15 years old and over,Total,Total,Total,2021,60.03855591,A,Normal value
Colombia,Total,15 years old and over,Total,Total,Total,2021,19.136251,A,Normal value
Comoros,Total,15 years old and over,Total,Total,Total,2022,3.691587704,A,Normal value
"Congo, Dem. Rep.",Total,15 years old and over,Total,Total,Total,2022,4.935933255,A,Normal value
"Congo, Rep.",Total,15 years old and over,Total,Total,Total,2021,9.882162055,A,Normal value
Costa Rica,Total,15 years old and over,Total,Total,Total,2021,32.7110178,A,Normal value
Cote d'Ivoire,Total,15 years old and over,Total,Total,Total,2021,19.07663326,A,Normal value
Croatia,Total,15 years old and over,Total,Total,Total,2021,43.01016786,A,Normal value
Cyprus,Total,15 years old and over,Total,Total,Total,2021,49.52683327,A,Normal value
Czechia,Total,15 years old and over,Total,Total,Total,2021,70.52111557,A,Normal value
Denmark,Total,15 years old and over,Total,Total,Total,2021,83.16066738,A,Normal value
Dominican Republic,Total,15 years old and over,Total,Total,Total,2021,8.784199675,A,Normal value
Ecuador,Total,15 years old and over,Total,Total,Total,2021,16.69496975,A,Normal value
"Egypt, Arab Rep.",Total,15 years old and over,Total,Total,Total,2021,1.44894416,A,Normal value
El Salvador,Total,15 years old and over,Total,Total,Total,2021,8.083546393,A,Normal value
Estonia,Total,15 years old and over,Total,Total,Total,2021,85.33832851,A,Normal value
Eswatini,Total,15 years old and over,Total,Total,Total,2022,40.62637459,A,Normal value
Ethiopia,Total,15 years old and over,Total,Total,Total,2022,3.200676621,A,Normal value
Finland,Total,15 years old and over,Total,Total,Total,2021,88.45046355,A,Normal value
France,Total,15 years old and over,Total,Total,Total,2021,43.66578611,A,Normal value
Gabon,Total,15 years old and over,Total,Total,Total,2021,41.00787132,A,Normal value
"Gambia, The",Total,15 years old and over,Total,Total,Total,2022,6.771272104,A,Normal value
Georgia,Total,15 years old and over,Total,Total,Total,2021,25.37825578,A,Normal value
Germany,Total,15 years old and over,Total,Total,Total,2021,57.43427157,A,Normal value
Ghana,Total,15 years old and over,Total,Total,Total,2021,10.10700308,A,Normal value
Greece,Total,15 years old and over,Total,Total,Total,2021,63.39071173,A,Normal value
Guatemala,Total,15 years old and over,Total,Total,Total,2022,5.807503468,A,Normal value
Guinea,Total,15 years old and over,Total,Total,Total,2021,4.385160713,A,Normal value
Honduras,Total,15 years old and over,Total,Total,Total,2021,10.69211312,A,Normal value
"Hong Kong SAR, China",Total,15 years old and over,Total,Total,Total,2021,64.37632841,A,Normal value
Hungary,Total,15 years old and over,Total,Total,Total,2021,54.41079805,A,Normal value
Iceland,Total,15 years old and over,Total,Total,Total,2021,80.89538609,A,Normal value
India,Total,15 years old and over,Total,Total,Total,2021,9.870367383,A,Normal value
Indonesia,Total,15 years old and over,Total,Total,Total,2021,7.703828548,A,Normal value
"Iran, Islamic Rep.",Total,15 years old and over,Total,Total,Total,2021,35.76475746,A,Normal value
Iraq,Total,15 years old and over,Total,Total,Total,2021,5.971364364,A,Normal value
Ireland,Total,15 years old and over,Total,Total,Total,2021,62.62277522,A,Normal value
Israel,Total,15 years old and over,Total,Total,Total,2021,47.25093251,A,Normal value
Italy,Total,15 years old and over,Total,Total,Total,2021,32.88439741,A,Normal value
Jamaica,Total,15 years old and over,Total,Total,Total,2021,12.26191319,A,Normal value
Japan,Total,15 years old and over,Total,Total,Total,2021,31.26235158,A,Normal value
Jordan,Total,15 years old and over,Total,Total,Total,2021,9.677539926,A,Normal value
Kazakhstan,Total,15 years old and over,Total,Total,Total,2021,50.63068415,A,Normal value
Kenya,Total,15 years old and over,Total,Total,Total,2021,44.90587196,A,Normal value
"Korea, Rep.",Total,15 years old and over,Total,Total,Total,2021,60.65044823,A,Normal value
Kosovo,Total,15 years old and over,Total,Total,Total,2021,10.44036302,A,Normal value
Kyrgyz Republic,Total,15 years old and over,Total,Total,Total,2021,8.835801747,A,Normal value
Lao PDR,Total,15 years old and over,Total,Total,Total,2021,8.839027398,A,Normal value
Latvia,Total,15 years old and over,Total,Total,Total,2021,77.34915747,A,Normal value
Lebanon,Total,15 years old and over,Total,Total,Total,2021,0.510865345,A,Normal value
Lesotho,Total,15 years old and over,Total,Total,Total,2022,22.4448185,A,Normal value
Liberia,Total,15 years old and over,Total,Total,Total,2021,7.270967606,A,Normal value
Lithuania,Total,15 years old and over,Total,Total,Total,2021,61.01785032,A,Normal value
Madagascar,Total,15 years old and over,Total,Total,Total,2022,5.59990464,A,Normal value
Malawi,Total,15 years old and over,Total,Total,Total,2021,10.01402636,A,Normal value
Malaysia,Total,15 years old and over,Total,Total,Total,2021,39.11503882,A,Normal value
Mali,Total,15 years old and over,Total,Total,Total,2021,9.441586636,A,Normal value
Malta,Total,15 years old and over,Total,Total,Total,2021,51.37047499,A,Normal value
Mauritania,Total,15 years old and over,Total,Total,Total,2022,9.100368088,A,Normal value
Mauritius,Total,15 years old and over,Total,Total,Total,2021,18.92063853,A,Normal value
Mexico,Total,15 years old and over,Total,Total,Total,2022,22.32110813,A,Normal value
Moldova,Total,15 years old and over,Total,Total,Total,2021,20.95339424,A,Normal value
Mongolia,Total,15 years old and over,Total,Total,Total,2021,43.4976628,A,Normal value
Morocco,Total,15 years old and over,Total,Total,Total,2021,7.2775308,A,Normal value
Mozambique,Total,15 years old and over,Total,Total,Total,2021,15.9751804,A,Normal value
Myanmar,Total,15 years old and over,Total,Total,Total,2021,16.58389502,A,Normal value
Namibia,Total,15 years old and over,Total,Total,Total,2021,18.482303,A,Normal value
Nepal,Total,15 years old and over,Total,Total,Total,2021,6.281249851,A,Normal value
Netherlands,Total,15 years old and over,Total,Total,Total,2021,74.88716191,A,Normal value
New Zealand,Total,15 years old and over,Total,Total,Total,2021,80.56184642,A,Normal value
Nicaragua,Total,15 years old and over,Total,Total,Total,2021,7.243853602,A,Normal value
Niger,Total,15 years old and over,Total,Total,Total,2022,4.933310377,A,Normal value
Nigeria,Total,15 years old and over,Total,Total,Total,2021,8.094465678,A,Normal value
North Macedonia,Total,15 years old and over,Total,Total,Total,2021,28.25948205,A,Normal value
Norway,Total,15 years old and over,Total,Total,Total,2021,86.1670127,A,Normal value
Pakistan,Total,15 years old and over,Total,Total,Total,2021,5.742043982,A,Normal value
Panama,Total,15 years old and over,Total,Total,Total,2021,18.33971531,A,Normal value
Paraguay,Total,15 years old and over,Total,Total,Total,2021,10.72003176,A,Normal value
Peru,Total,15 years old and over,Total,Total,Total,2021,19.67942192,A,Normal value
Philippines,Total,15 years old and over,Total,Total,Total,2021,20.57672948,A,Normal value
Poland,Total,15 years old and over,Total,Total,Total,2021,70.43961396,A,Normal value
Portugal,Total,15 years old and over,Total,Total,Total,2021,45.39600948,A,Normal value
Romania,Total,15 years old and over,Total,Total,Total,2021,34.07466915,A,Normal value
Russian Federation,Total,15 years old and over,Total,Total,Total,2021,58.56633248,A,Normal value
Saudi Arabia,Total,15 years old and over,Total,Total,Total,2021,62.01734105,A,Normal value
Senegal,Total,15 years old and over,Total,Total,Total,2021,19.48568263,A,Normal value
Serbia,Total,15 years old and over,Total,Total,Total,2021,27.31410833,A,Normal value
Sierra Leone,Total,15 years old and over,Total,Total,Total,2021,3.903584987,A,Normal value
Singapore,Total,15 years old and over,Total,Total,Total,2021,58.1148083,A,Normal value
Slovak Republic,Total,15 years old and over,Total,Total,Total,2021,72.28191777,A,Normal value
Slovenia,Total,15 years old and over,Total,Total,Total,2021,55.84609043,A,Normal value
South Africa,Total,15 years old and over,Total,Total,Total,2021,27.61365578,A,Normal value
South Sudan,Total,15 years old and over,Total,Total,Total,2021,1.585735076,A,Normal value
Spain,Total,15 years old and over,Total,Total,Total,2021,48.07845011,A,Normal value
Sri Lanka,Total,15 years old and over,Total,Total,Total,2021,8.831278807,A,Normal value
Sweden,Total,15 years old and over,Total,Total,Total,2021,82.285999,A,Normal value
Switzerland,Total,15 years old and over,Total,Total,Total,2021,53.74652855,A,Normal value
"Taiwan, China",Total,15 years old and over,Total,Total,Total,2021,38.35203375,A,Normal value
Tajikistan,Total,15 years old and over,Total,Total,Total,2021,3.862125497,A,Normal value
Tanzania,Total,15 years old and over,Total,Total,Total,2021,18.87765043,A,Normal value
Thailand,Total,15 years old and over,Total,Total,Total,2021,46.93519239,A,Normal value
Togo,Total,15 years old and over,Total,Total,Total,2021,12.06194415,A,Normal value
Tunisia,Total,15 years old and over,Total,Total,Total,2021,3.366239419,A,Normal value
Turkiye,Total,15 years old and over,Total,Total,Total,2021,42.0704481,A,Normal value
Uganda,Total,15 years old and over,Total,Total,Total,2021,25.14856212,A,Normal value
Ukraine,Total,15 years old and over,Total,Total,Total,2021,47.22221122,A,Normal value
United Arab Emirates,Total,15 years old and over,Total,Total,Total,2021,15.85221761,A,Normal value
United Kingdom,Total,15 years old and over,Total,Total,Total,2021,52.38087724,A,Normal value
United States,Total,15 years old and over,Total,Total,Total,2021,65.78999408,A,Normal value
Uruguay,Total,15 years old and over,Total,Total,Total,2021,32.2885572,A,Normal value
Uzbekistan,Total,15 years old and over,Total,Total,Total,2021,16.13293213,A,Normal value
"Venezuela, RB",Total,15 years old and over,Total,Total,Total,2021,49.32483637,A,Normal value
Viet Nam,Total,15 years old and over,Total,Total,Total,2022,25.02264651,A,Normal value
West Bank and Gaza,Total,15 years old and over,Total,Total,Total,2021,2.719564603,A,Normal value
"Yemen, Rep.",Total,15 years old and over,Total,Total,Total,2022,2.104465976,A,Normal value
Zambia,Total,15 years old and over,Total,Total,Total,2021,18.41169547,A,Normal value
Zimbabwe,Total,15 years old and over,Total,Total,Total,2021,21.45149847,A,Normal value
Afghanistan,Male,15 years old and over,Total,Total,Total,2017,,O,Missing value
Afghanistan,Female,15 years old and over,Total,Total,Total,2017,,O,Missing value
Albania,Male,15 years old and over,Total,Total,Total,2017,,O,Missing value
Albania,Female,15 years old and over,Total,Total,Total,2017,,O,Missing value
Algeria,Male,15 years old and over,Total,Total,Total,2017,,O,Missing value
Algeria,Female,15 years old and over,Total,Total,Total,2017,,O,Missing value
Argentina,Male,15 years old and over,Total,Total,Total,2017,14.69366461,A,Normal value
Argentina,Female,15 years old and over,Total,Total,Total,2017,10.80468304,A,Normal value
Armenia,Male,15 years old and over,Total,Total,Total,2017,14.390879,A,Normal value
Armenia,Female,15 years old and over,Total,Total,Total,2017,7.579793416,A,Normal value
Australia,Male,15 years old and over,Total,Total,Total,2017,69.1678408,A,Normal value
Australia,Female,15 years old and over,Total,Total,Total,2017,67.0445644,A,Normal value
Austria,Male,15 years old and over,Total,Total,Total,2017,57.90075285,A,Normal value
Austria,Female,15 years old and over,Total,Total,Total,2017,45.83817003,A,Normal value
Azerbaijan,Male,15 years old and over,Total,Total,Total,2017,,O,Missing value
Azerbaijan,Female,15 years old and over,Total,Total,Total,2017,,O,Missing value
Bahrain,Male,15 years old and over,Total,Total,Total,2017,39.03045014,A,Normal value
Bahrain,Female,15 years old and over,Total,Total,Total,2017,33.24553888,A,Normal value
Bangladesh,Male,15 years old and over,Total,Total,Total,2017,,O,Missing value
Bangladesh,Female,15 years old and over,Total,Total,Total,2017,,O,Missing value
Belarus,Male,15 years old and over,Total,Total,Total,2017,37.8800625,A,Normal value
Belarus,Female,15 years old and over,Total,Total,Total,2017,45.44627753,A,Normal value
Belgium,Male,15 years old and over,Total,Total,Total,2017,70.24216148,A,Normal value
Belgium,Female,15 years old and over,Total,Total,Total,2017,64.74366081,A,Normal value
Benin,Male,15 years old and over,Total,Total,Total,2017,,O,Missing value
Benin,Female,15 years old and over,Total,Total,Total,2017,,O,Missing value
Bolivia,Male,15 years old and over,Total,Total,Total,2017,,O,Missing value
Bolivia,Female,15 years old and over,Total,Total,Total,2017,,O,Missing value
Bosnia and Herzegovina,Male,15 years old and over,Total,Total,Total,2017,,O,Missing value
Bosnia and Herzegovina,Female,15 years old and over,Total,Total,Total,2017,,O,Missing value
Botswana,Male,15 years old and over,Total,Total,Total,2017,,O,Missing value
Botswana,Female,15 years old and over,Total,Total,Total,2017,,O,Missing value
Brazil,Male,15 years old and over,Total,Total,Total,2017,13.212834,A,Normal value
Brazil,Female,15 years old and over,Total,Total,Total,2017,9.52056259,A,Normal value
Bulgaria,Male,15 years old and over,Total,Total,Total,2017,14.4980176,A,Normal value
Bulgaria,Female,15 years old and over,Total,Total,Total,2017,12.48589408,A,Normal value
Burkina Faso,Male,15 years old and over,Total,Total,Total,2017,,O,Missing value
Burkina Faso,Female,15 years old and over,Total,Total,Total,2017,,O,Missing value
Cambodia,Male,15 years old and over,Total,Total,Total,2017,,O,Missing value
Cambodia,Female,15 years old and over,Total,Total,Total,2017,,O,Missing value
Cameroon,Male,15 years old and over,Total,Total,Total,2017,,O,Missing value
Cameroon,Female,15 years old and over,Total,Total,Total,2017,,O,Missing value
Canada,Male,15 years old and over,Total,Total,Total,2017,75.27234638,A,Normal value
Canada,Female,15 years old and over,Total,Total,Total,2017,69.0577194,A,Normal value
Central African Republic,Male,15 years old and over,Total,Total,Total,2017,,O,Missing value
Central African Republic,Female,15 years old and over,Total,Total,Total,2017,,O,Missing value
Chad,Male,15 years old and over,Total,Total,Total,2017,,O,Missing value
Chad,Female,15 years old and over,Total,Total,Total,2017,,O,Missing value
Chile,Male,15 years old and over,Total,Total,Total,2017,26.98403008,A,Normal value
Chile,Female,15 years old and over,Total,Total,Total,2017,20.58783288,A,Normal value
China,Male,15 years old and over,Total,Total,Total,2017,39.63580993,A,Normal value
China,Female,15 years old and over,Total,Total,Total,2017,36.05808865,A,Normal value
Colombia,Male,15 years old and over,Total,Total,Total,2017,,O,Missing value
Colombia,Female,15 years old and over,Total,Total,Total,2017,,O,Missing value
"Congo, Dem. Rep.",Male,15 years old and over,Total,Total,Total,2017,,O,Missing value
